ImageType,FileName,RunID,FilePath
RangeWithoutOverlay,TXY_Y,3,58,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000191.tif
IntensityWithoutOverlay,TXY_Y,3,59,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000192.tif
RangeWithoutOverlay,TXY_Y,3,59,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000192.tif
IntensityWithoutOverlay,TXY_Y,3,60,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000193.tif
RangeWithoutOverlay,TXY_Y,3,60,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000193.tif
IntensityWithoutOverlay,TXY_Y,3,61,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000194.tif
RangeWithoutOverlay,TXY_Y,3,61,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000194.tif
IntensityWithoutOverlay,TXY_Y,3,62,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000195.tif
RangeWithoutOverlay,TXY_Y,3,62,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000195.tif
IntensityWithoutOverlay,TXY_Y,4,63,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000267.tif
RangeWithoutOverlay,TXY_Y,4,63,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000267.tif
IntensityWithoutOverlay,TXY_Y,4,64,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000268.tif
RangeWithoutOverlay,TXY_Y,4,64,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000268.tif
IntensityWithoutOverlay,TXY_Y,4,65,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000269.tif
RangeWithoutOverlay,TXY_Y,4,65,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000269.tif
IntensityWithoutOverlay,TXY_Y,4,66,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000270.tif
RangeWithoutOverlay,TXY_Y,4,66,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000270.tif
IntensityWithoutOverlay,TXY_Y,4,67,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000271.tif
RangeWithoutOverlay,TXY_Y,4,67,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000271.tif
IntensityWithoutOverlay,TXY_Y,4,68,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000272.tif
RangeWithoutOverlay,TXY_Y,4,68,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000272.tif
IntensityWithoutOverlay,TXY_Y,4,69,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000273.tif
RangeWithoutOverlay,TXY_Y,4,69,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000273.tif
IntensityWithoutOverlay,TXY_Y,4,70,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000274.tif
RangeWithoutOverlay,TXY_Y,4,70,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000274.tif
IntensityWithoutOverlay,TXY_Y,4,71,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000275.tif
RangeWithoutOverlay,TXY_Y,4,71,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000275.tif
IntensityWithoutOverlay,TXY_Y,4,72,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000276.tif
RangeWithoutOverlay,TXY_Y,4,72,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000276.tif
IntensityWithoutOverlay,TXY_Y,4,73,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000277.tif
RangeWithoutOverlay,TXY_Y,4,73,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000277.tif
IntensityWithoutOverlay,TXY_Y,4,74,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000278.tif
RangeWithoutOverlay,TXY_Y,4,74,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000278.tif
IntensityWithoutOverlay,TXY_Y,4,75,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000279.tif
RangeWithoutOverlay,TXY_Y,4,75,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000279.tif
IntensityWithoutOverlay,TXY_Y,4,76,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000280.tif
RangeWithoutOverlay,TXY_Y,4,76,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000280.tif
IntensityWithoutOverlay,TXY_Y,4,77,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000281.tif
RangeWithoutOverlay,TXY_Y,4,77,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000281.tif
IntensityWithoutOverlay,TXY_Y,4,78,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000282.tif
RangeWithoutOverlay,TXY_Y,4,78,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000282.tif
IntensityWithoutOverlay,TXY_Y,4,79,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000283.tif
RangeWithoutOverlay,TXY_Y,4,79,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000283.tif
IntensityWithoutOverlay,TXY_Y,4,80,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000284.tif
RangeWithoutOverlay,TXY_Y,4,80,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000284.tif
IntensityWithoutOverlay,TXY_Y,4,81,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000285.tif
RangeWithoutOverlay,TXY_Y,4,81,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000285.tif
IntensityWithoutOverlay,TXY_Y,4,82,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000286.tif
RangeWithoutOverlay,TXY_Y,4,82,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000286.tif
IntensityWithoutOverlay,TXY_Y,5,83,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000356.tif
RangeWithoutOverlay,TXY_Y,5,83,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000356.tif
IntensityWithoutOverlay,TXY_Y,5,84,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000357.tif
RangeWithoutOverlay,TXY_Y,5,84,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000357.tif
IntensityWithoutOverlay,TXY_Y,5,85,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000358.tif
RangeWithoutOverlay,TXY_Y,5,85,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000358.tif
IntensityWithoutOverlay,TXY_Y,5,86,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000359.tif
RangeWithoutOverlay,TXY_Y,5,86,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000359.tif
